0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0.1432174,0.1802924,0.2190534,0.2877163,0.3185717,0.3124692,0.3160123,0.3133517,0.3031247,0.3398698,0.4310957,0.4265046,0.5021416,0.6086255,0.5075694,0.1630427,0.6120171,0.8598681,0.5765007,0.5171287,0.5217674,0.9053408,1.110453,0.8185551,0.6557663,0.3464419,0.09599147,-0.03694618,-0.1043004,-0.1594626,-0.165336,-0.1700504,-0.1850981,-0.2022605,-0.214233,-0.2112163,-0.1962788,-0.1394305,-0.07202564,-0.009645925,0.05024853,0.08323156,0.09559674,0.1259794,0.2367071,0.3890775,0.5069839,0.5825578,0.6089685,0.6394088,0.7293811,0.7615067,0.6538092,0.4064606,-0.0309274,-0.5652922,-1.017826,-1.347041,-1.581808,-1.723416,-1.790084,-1.823206,-1.788318,-1.587048,-1.378367,-1.260732,1.734176,1.448412,0.6782293,1.038111,1.013336,0.2004643,-0.2745445,-0.1623737,-0.1127475,-0.1607934,0.1792114,0.5162261,0.2358192,-0.003050197,0.1845094,0.1924913,,,,,,,,,,,,,,,,,
0.05337437,0.09842319,0.1094326,0.1589238,0.1932463,0.217133,0.2526517,0.2659466,0.3277663,0.4617172,0.5852632,0.5098288,0.4433538,0.6279537,0.6345206,0.1840563,0.2382825,0.6147798,0.904694,0.9452309,0.6824638,0.6658088,1.327168,0.8377575,0.4275377,0.1143219,-0.152333,-0.2841932,-0.3496127,-0.3366936,-0.3179265,-0.3172228,-0.3331552,-0.3443451,-0.3541808,-0.3520878,-0.3332864,-0.3384118,-0.3728339,-0.4360443,-0.4896097,-0.5610953,-0.5870957,-0.5600588,-0.4419884,-0.3103039,-0.1944674,-0.08799562,-0.01295959,0.05743233,0.1196087,0.1907609,0.2123761,0.2078015,0.1698071,0.1166255,0.06385869,-0.07289117,-0.3076024,-0.5809472,-0.8253724,-0.9696092,-1.060236,-1.145966,-1.243279,-1.275596,-1.204672,-1.501566,-2.081159,-1.184348,1.311984,0.9724913,-0.6524622,0.06236337,0.6460335,0.5374468,0.1990373,-0.1507848,-0.1857389,0.09927282,0.5438068,0.3250091,0.1930943,0.1154488,0.03095601,0.04560261,,,,,,,,,,,,,
0.04011021,0.01822159,-0.02724765,-0.0701617,-0.08020753,-0.0991041,-0.1356562,-0.1147707,-0.14716,-0.1358029,-0.1304553,-0.1403068,-0.174999,-0.1937934,-0.2883621,-0.376281,-0.385916,-0.3180505,-0.2176598,-0.09825253,-0.1264575,-0.2728968,-0.405909,-0.4960675,-0.5424052,-0.5184501,-0.4952362,-0.4699776,-0.4456956,-0.4294022,-0.3796514,-0.2927789,-0.1995732,-0.1192598,-0.02286124,0.06029519,0.122074,0.2216837,0.3963103,0.5337395,0.3916859,0.3246661,0.3735678,0.435843,0.4536314,0.4266481,0.3776162,0.3185031,0.2639932,0.2133658,0.1723333,0.1277722,0.1075659,0.06187004,0.04393761,0.02114043,0.03321662,0.07324028,0.1093097,0.1134385,0.09340323,0.0538621,0.01731874,0.01982449,-0.0008967599,-0.03920383,-0.06957026,-0.06334755,-0.04930585,-0.06746057,-0.1457039,-0.2393426,-0.2776759,-0.3113448,-0.2951609,-0.2806594,-0.3896048,-0.7075411,-0.8408209,-0.4182818,-0.02951581,-0.1090477,-5.427037e-05,0.1476439,0.1265311,0.07181676,0.03576622,0.04895074,-0.007779946,0.0814907,0.06124291,0.03075248,0.06301283,-0.008612443,-0.05844914,-0.04502345,-0.05987419,-0.05867398,-0.07010714
0.09099474,0.1079947,0.1175947,0.1354947,0.1513947,0.1696947,0.1866947,0.2069947,0.2273947,0.2462947,0.2693947,0.2963947,0.3271947,0.3583947,0.3899947,0.4219947,0.4497947,0.4717947,0.4905947,0.5039947,0.5100947,0.5117947,0.5085947,0.4997947,0.4812947,0.4522947,0.4173947,0.3847947,0.3524947,0.3206947,0.2892947,0.2571947,0.2269947,0.1956947,0.1673947,0.1417947,0.1192947,0.09419474,0.06629474,0.03439474,-0.0005052632,-0.03870526,-0.08090526,-0.1229053,-0.1665053,-0.2124053,-0.2614053,-0.3113053,-0.3600053,-0.4079053,-0.4551053,-0.4996053,-0.5463053,-0.5896053,-0.6287053,-0.6586053,-0.6796053,-0.5202053,-0.4268053,-0.2120053,-0.1993053,-0.09120526,0.01629474,0.1145947,0.2053947,0.2860947,0.3605947,0.2568947,0.2216947,0.09849474,0.1654947,0.1266947,0.1034947,0.08809474,0.07779474,0.06949474,0.06149474,0.05829474,0.05579474,0.02599474,0.01349474,,,,,,,,,,,,,,,,,,
0.08839474,0.1175947,0.1496947,0.1805947,0.2137947,0.2496947,0.2897947,0.3357947,0.3848947,0.4351947,0.4849947,0.5093947,0.5035947,0.4895947,0.4800947,0.4808947,0.4915947,0.5417947,0.5692947,0.5502947,0.6031947,0.6742947,0.7295947,0.7673947,0.7859947,0.7911947,0.7636947,0.6823947,0.6060947,0.5655947,0.4531947,0.3481947,0.2876947,0.2558947,0.2388947,0.2234947,0.2223947,0.2292947,0.2478947,0.2724947,0.3029947,0.3345947,0.3731947,0.4196947,0.4668947,0.5065947,0.5349947,0.5427947,0.5205947,0.4652947,0.3612947,0.1936947,-0.03260526,-0.2977053,-0.5808053,-0.8409053,-1.053705,-1.210505,-1.315105,-1.370605,-1.370905,-1.308305,-1.147905,-0.9891053,-0.7991053,-0.6585053,-0.4466053,-0.3127053,-0.2189053,-0.1405053,-0.06620526,0.05309474,0.06229474,0.1128947,0.1361947,0.1926947,0.1395947,0.1261947,0.1255947,0.1169947,0.1005947,0.03419474,0.03009474,,,,,,,,,,,,,,,,
0.1677947,0.2065947,0.2548947,0.3127947,0.3611947,0.4094947,0.4545947,0.5233947,0.5570947,0.5807947,0.6189947,0.6276947,0.6262947,0.6512947,0.6762947,0.6722947,0.6697947,0.6978947,0.7127947,0.7058947,0.6576947,0.6280947,0.5768947,0.4838947,0.3855947,0.3139947,0.2404947,0.1087947,0.01719474,-0.04890526,-0.08630526,-0.1193053,-0.1261053,-0.1203053,-0.1037053,-0.08290526,-0.05610526,-0.02560526,0.01329474,0.06269474,0.1212947,0.1865947,0.2534947,0.3115947,0.3593947,0.3950947,0.4198947,0.3865947,0.3141947,0.2321947,0.1183947,-0.05780526,-0.2976053,-0.5543053,-0.7933053,-0.9986053,-1.166905,-1.257005,-1.299205,-1.294105,-1.234305,-1.068805,-0.9575053,-0.7451053,-0.5306053,-0.3618053,-0.2164053,-0.04140526,0.07769474,0.1316947,0.1584947,0.1204947,0.1937947,0.1820947,0.1554947,0.1493947,0.1350947,0.06549474,0.03679474,0.02769474,0.01189474,,,,,,,,,,,,,,,,,,
0.2995947,0.3543947,0.4222947,0.4782947,0.5508947,0.6269947,0.6695947,0.7030947,0.7415947,0.8070947,0.8671947,0.8841947,0.9153947,0.9544947,0.9729947,0.9861947,0.9697947,0.9407947,0.8854947,0.7903947,0.6771947,0.5873947,0.4658947,0.3414947,0.2210947,0.1022947,0.05169474,0.03139474,0.02449474,0.02689474,0.03989474,0.06699474,0.1097947,0.1635947,0.2261947,0.2959947,0.3610947,0.4081947,0.4415947,0.4633947,0.4621947,0.4168947,0.3120947,0.1391947,-0.09110526,-0.3597053,-0.6342053,-0.8872053,-1.097605,-1.265205,-1.355005,-1.459305,-1.473705,-1.328605,-1.147205,-0.8920053,-0.6505053,-0.4587053,-0.2936053,-0.1648053,-0.09080526,0.08999474,0.1824947,0.1783947,0.1816947,0.1370947,0.1051947,0.1075947,0.1029947,0.1006947,0.09649474,0.03649474,0.02689474,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1567947,0.1974947,0.2407947,0.2885947,0.3442947,0.4081947,0.4678947,0.5370947,0.6143947,0.6469947,0.6810947,0.7271947,0.7607947,0.7912947,0.8427947,0.8677947,0.8507947,0.9135947,0.9290947,0.9376947,0.9373947,0.8694947,0.8080947,0.7435947,0.6355947,0.5374947,0.4682947,0.3034947,0.1740947,0.09009474,0.005994737,-0.01230526,-0.02170526,-0.02720526,-0.01220526,0.01829474,0.06449474,0.1147947,0.1737947,0.2441947,0.3272947,0.4101947,0.4908947,0.5568947,0.5900947,0.5895947,0.5067947,0.3761947,0.1737947,-0.1066053,-0.4213053,-0.7265053,-0.9927053,-1.201905,-1.344605,-1.402905,-1.464905,-1.506605,-1.335805,-1.112005,-0.8152053,-0.5806053,-0.3881053,-0.2432053,-0.1437053,-0.05120526,0.05449474,0.2043947,0.1946947,0.1938947,0.1388947,0.1300947,0.1200947,0.1098947,0.1037947,0.04299474,0.04449474,0.02309474,,,,,,,,,,,,,,,,,,,,,
0.2749947,0.3432947,0.4099947,0.4867947,0.5673947,0.6563947,0.7071947,0.7359947,0.7720947,0.7925947,0.7917947,0.8185947,0.8452947,0.8363947,0.8154947,0.8497947,0.8603947,0.8472947,0.7894947,0.7248947,0.6641947,0.5618947,0.4552947,0.3665947,0.2763947,0.1218947,0.02369474,-0.03380526,-0.05360526,-0.05100526,-0.03820526,-0.01910526,0.006694737,0.04869474,0.09819474,0.1523947,0.2074947,0.2656947,0.3266947,0.3858947,0.4378947,0.4721947,0.4873947,0.4512947,0.3636947,0.2448947,0.06629474,-0.1555053,-0.4064053,-0.6523053,-0.8709053,-1.044105,-1.171505,-1.240605,-1.250205,-1.218905,-1.213205,-1.056705,-0.8685053,-0.6485053,-0.4618053,-0.3371053,-0.2313053,-0.1478053,-0.06410526,0.03679474,0.1650947,0.1948947,0.2064947,0.1699947,0.1392947,0.1408947,0.1326947,0.1245947,0.09949474,0.04129474,0.03509474,,,,,,,,,,,,,,,,,,,,,,
0.2289947,0.2741947,0.3230947,0.3687947,0.4322947,0.4902947,0.5356947,0.5579947,0.5872947,0.6167947,0.6161947,0.6228947,0.6470947,0.6731947,0.6730947,0.6728947,0.7308947,0.7748947,0.7750947,0.7414947,0.7288947,0.6813947,0.6021947,0.5147947,0.4320947,0.3445947,0.2027947,0.09039474,0.01349474,-0.03230526,-0.07410526,-0.08990526,-0.09190526,-0.07720526,-0.04970526,-0.02650526,-0.001005263,0.02859474,0.07039474,0.1183947,0.1646947,0.2065947,0.2367947,0.2460947,0.2503947,0.2262947,0.1884947,0.1262947,0.02649474,-0.09900526,-0.2680053,-0.4699053,-0.6910053,-0.9051053,-1.126105,-1.315105,-1.502705,-1.659505,-1.597805,-1.417005,-1.283305,-1.123905,-0.9435053,-0.6878053,-0.5042053,-0.2738053,-0.06810526,0.1406947,0.1568947,0.07529474,0.07949474,0.08889474,0.09699474,0.02999474,0.03829474,0.006194737,,,,,,,,,,,,,,,,,,,,,,,
